"","state","week","year","cases","date","lon","lat"
"1","Alabama",15,1959,NA,1959-04-11,-86.8283850275618,32.7888808009156
"2","Alabama",16,1959,NA,1959-04-18,-86.8283850275618,32.7888808009156
"3","Alabama",14,1959,NA,1959-04-04,-86.8283850275618,32.7888808009156
"4","Alabama",19,1945,0,1945-05-12,-86.8283850275618,32.7888808009156
"5","Alabama",13,1959,NA,1959-03-28,-86.8283850275618,32.7888808009156
"6","Alabama",2,1940,1,1940-01-13,-86.8283850275618,32.7888808009156
"7","Alabama",3,1940,NA,1940-01-20,-86.8283850275618,32.7888808009156
"8","Alabama",1,1940,1,1940-01-06,-86.8283850275618,32.7888808009156
"9","Alabama",21,1945,0,1945-05-26,-86.8283850275618,32.7888808009156
"10","Alabama",26,1945,12,1945-06-30,-86.8283850275618,32.7888808009156
"11","Alabama",27,1945,8,1945-07-07,-86.8283850275618,32.7888808009156
"12","Alabama",20,1945,2,1945-05-19,-86.8283850275618,32.7888808009156
"13","Alabama",25,1945,13,1945-06-23,-86.8283850275618,32.7888808009156
"14","Alabama",11,1959,NA,1959-03-14,-86.8283850275618,32.7888808009156
"15","Alabama",18,1945,2,1945-05-05,-86.8283850275618,32.7888808009156
"16","Alabama",32,1945,13,1945-08-11,-86.8283850275618,32.7888808009156
"17","Alabama",33,1945,14,1945-08-18,-86.8283850275618,32.7888808009156
"18","Alabama",34,1945,9,1945-08-25,-86.8283850275618,32.7888808009156
"19","Alabama",22,1945,4,1945-06-02,-86.8283850275618,32.7888808009156
"20","Alabama",23,1945,3,1945-06-09,-86.8283850275618,32.7888808009156
"21","Alabama",24,1945,14,1945-06-16,-86.8283850275618,32.7888808009156
"22","Alabama",38,1945,5,1945-09-22,-86.8283850275618,32.7888808009156
"23","Alabama",39,1945,12,1945-09-29,-86.8283850275618,32.7888808009156
"24","Alabama",40,1945,3,1945-10-06,-86.8283850275618,32.7888808009156
"25","Alabama",28,1945,10,1945-07-14,-86.8283850275618,32.7888808009156
"26","Alabama",29,1945,1,1945-07-21,-86.8283850275618,32.7888808009156
"27","Alabama",30,1945,16,1945-07-28,-86.8283850275618,32.7888808009156
"28","Alabama",31,1945,7,1945-08-04,-86.8283850275618,32.7888808009156
"29","Alabama",6,1946,0,1946-02-09,-86.8283850275618,32.7888808009156
"30","Alabama",7,1946,1,1946-02-16,-86.8283850275618,32.7888808009156
"31","Alabama",8,1946,1,1946-02-23,-86.8283850275618,32.7888808009156
"32","Alabama",9,1946,0,1946-03-02,-86.8283850275618,32.7888808009156
"33","Alabama",10,1946,0,1946-03-09,-86.8283850275618,32.7888808009156
"34","Alabama",11,1946,0,1946-03-16,-86.8283850275618,32.7888808009156
"35","Alabama",12,1946,1,1946-03-23,-86.8283850275618,32.7888808009156
"36","Alabama",13,1946,1,1946-03-30,-86.8283850275618,32.7888808009156
"37","Alabama",14,1946,2,1946-04-06,-86.8283850275618,32.7888808009156
"38","Alabama",15,1946,0,1946-04-13,-86.8283850275618,32.7888808009156
"39","Alabama",16,1946,1,1946-04-20,-86.8283850275618,32.7888808009156
"40","Alabama",17,1946,1,1946-04-27,-86.8283850275618,32.7888808009156
"41","Alabama",5,1946,0,1946-02-02,-86.8283850275618,32.7888808009156
"42","Alabama",19,1946,3,1946-05-11,-86.8283850275618,32.7888808009156
"43","Alabama",20,1946,0,1946-05-18,-86.8283850275618,32.7888808009156
"44","Alabama",21,1946,0,1946-05-25,-86.8283850275618,32.7888808009156
"45","Alabama",22,1946,27,1946-06-01,-86.8283850275618,32.7888808009156
"46","Alabama",35,1945,4,1945-09-01,-86.8283850275618,32.7888808009156
"47","Alabama",36,1945,4,1945-09-08,-86.8283850275618,32.7888808009156
"48","Alabama",37,1945,5,1945-09-15,-86.8283850275618,32.7888808009156
"49","Alabama",26,1946,7,1946-06-29,-86.8283850275618,32.7888808009156
"50","Alabama",27,1946,26,1946-07-06,-86.8283850275618,32.7888808009156
"51","Alabama",28,1946,19,1946-07-13,-86.8283850275618,32.7888808009156
"52","Alabama",41,1945,1,1945-10-13,-86.8283850275618,32.7888808009156
"53","Alabama",42,1945,5,1945-10-20,-86.8283850275618,32.7888808009156
"54","Alabama",18,1946,0,1946-05-04,-86.8283850275618,32.7888808009156
"55","Alabama",44,1945,10,1945-11-03,-86.8283850275618,32.7888808009156
"56","Alabama",45,1945,2,1945-11-10,-86.8283850275618,32.7888808009156
"57","Alabama",46,1945,1,1945-11-17,-86.8283850275618,32.7888808009156
"58","Alabama",47,1945,0,1945-11-24,-86.8283850275618,32.7888808009156
"59","Alabama",48,1945,0,1945-12-01,-86.8283850275618,32.7888808009156
"60","Alabama",49,1945,1,1945-12-08,-86.8283850275618,32.7888808009156
"61","Alabama",50,1945,0,1945-12-15,-86.8283850275618,32.7888808009156
"62","Alabama",51,1945,1,1945-12-22,-86.8283850275618,32.7888808009156
"63","Alabama",52,1945,3,1945-12-29,-86.8283850275618,32.7888808009156
"64","Alabama",1,1946,1,1946-01-05,-86.8283850275618,32.7888808009156
"65","Alabama",2,1946,1,1946-01-12,-86.8283850275618,32.7888808009156
"66","Alabama",3,1946,0,1946-01-19,-86.8283850275618,32.7888808009156
"67","Alabama",4,1946,0,1946-01-26,-86.8283850275618,32.7888808009156
"68","Alabama",45,1946,3,1946-11-09,-86.8283850275618,32.7888808009156
"69","Alabama",46,1946,3,1946-11-16,-86.8283850275618,32.7888808009156
"70","Alabama",47,1946,3,1946-11-23,-86.8283850275618,32.7888808009156
"71","Alabama",48,1946,3,1946-11-30,-86.8283850275618,32.7888808009156
"72","Alabama",49,1946,1,1946-12-07,-86.8283850275618,32.7888808009156
